Manager,User,RoleName,Department,ID
Manager0,User0,Role0,Dept1,0
Manager0,User0,Role1,Dept1,0
Manager0,User1,Role0,Dept1,1
Manager0,User1,Role1,Dept1,1
Manager0,User2,Role0,Dept1,2
Manager0,User2,Role1,Dept1,2
Manager0,User3,Role0,Dept1,3
Manager0,User3,Role1,Dept1,3
Manager1,User4,Role2,Dept1,4
Manager1,User4,Role3,Dept1,4
Manager1,User5,Role2,Dept1,5
Manager1,User5,Role3,Dept1,5
Manager1,User6,Role3,Dept1,6
Manager1,User6,Role4,Dept1,6
Manager1,User7,Role3,Dept1,7
Manager1,User7,Role4,Dept1,7
Manager2,User8,Role4,Dept1,8
Manager2,User8,Role5,Dept1,8
Manager2,User9,Role4,Dept1,9
Manager2,User9,Role5,Dept1,9
Manager2,User10,Role5,Dept1,10
Manager2,User10,Role6,Dept1,10
Manager2,User11,Role5,Dept1,11
Manager2,User11,Role6,Dept1,11
Manager3,User12,Role6,Dept1,12
Manager3,User12,Role7,Dept1,12
Manager3,User13,Role6,Dept1,13
Manager3,User13,Role7,Dept1,13
Manager3,User14,Role7,Dept1,14
Manager3,User14,Role8,Dept1,14
Manager3,User15,Role7,Dept1,15
Manager3,User15,Role8,Dept1,15
Manager4,User16,Role8,Dept1,16
Manager4,User16,Role9,Dept1,16
Manager4,User17,Role8,Dept1,17
Manager4,User17,Role9,Dept1,17
Manager4,User18,Role9,Dept1,18
Manager4,User18,Role10,Dept1,18
Manager4,User19,Role9,Dept1,19
Manager4,User19,Role10,Dept1,19
Manager5,User20,Role10,Dept1,20
Manager5,User20,Role11,Dept1,20
Manager5,User21,Role10,Dept1,21
Manager5,User21,Role11,Dept1,21
Manager5,User22,Role11,Dept1,22
Manager5,User22,Role12,Dept1,22
Manager5,User23,Role11,Dept1,23
Manager5,User23,Role12,Dept1,23
Manager6,User24,Role12,Dept1,24
Manager6,User24,Role13,Dept1,24
Manager6,User25,Role12,Dept1,25
Manager6,User25,Role13,Dept1,25
Manager6,User26,Role13,Dept1,26
Manager6,User26,Role14,Dept1,26
Manager6,User27,Role13,Dept1,27
Manager6,User27,Role14,Dept1,27
Manager7,User28,Role14,Dept1,28
Manager7,User28,Role15,Dept1,28
Manager7,User29,Role14,Dept1,29
Manager7,User29,Role15,Dept1,29
Manager7,User30,Role15,Dept1,30
Manager7,User30,Role16,Dept1,30
Manager7,User31,Role15,Dept1,31
Manager7,User31,Role16,Dept1,31
Manager8,User32,Role16,Dept1,32
Manager8,User32,Role17,Dept1,32
Manager8,User33,Role16,Dept1,33
Manager8,User33,Role17,Dept1,33
Manager8,User34,Role17,Dept1,34
Manager8,User34,Role18,Dept1,34
Manager8,User35,Role17,Dept1,35
Manager8,User35,Role18,Dept1,35
Manager9,User36,Role18,Dept1,36
Manager9,User36,Role19,Dept1,36
Manager9,User37,Role18,Dept1,37
Manager9,User37,Role19,Dept1,37
Manager9,User38,Role19,Dept1,38
Manager9,User38,Role20,Dept1,38
Manager9,User39,Role19,Dept1,39
Manager9,User39,Role20,Dept1,39
Manager10,User40,Role20,Dept1,40
Manager10,User40,Role21,Dept1,40
Manager10,User41,Role20,Dept1,41
Manager10,User41,Role21,Dept1,41
Manager10,User42,Role21,Dept1,42
Manager10,User42,Role22,Dept1,42
Manager10,User43,Role21,Dept1,43
Manager10,User43,Role22,Dept1,43
Manager11,User44,Role22,Dept1,44
Manager11,User44,Role23,Dept1,44
Manager11,User45,Role22,Dept1,45
Manager11,User45,Role23,Dept1,45
Manager11,User46,Role23,Dept1,46
Manager11,User46,Role24,Dept1,46
Manager11,User47,Role23,Dept1,47
Manager11,User47,Role24,Dept1,47
Manager12,User48,Role24,Dept1,48
Manager12,User48,Role25,Dept1,48
Manager12,User49,Role24,Dept1,49
Manager12,User49,Role25,Dept1,49
Manager12,User50,Role25,Dept1,50
Manager12,User50,Role26,Dept1,50
Manager12,User51,Role25,Dept1,51
Manager12,User51,Role26,Dept1,51
Manager13,User52,Role26,Dept1,52
Manager13,User52,Role27,Dept1,52
Manager13,User53,Role26,Dept1,53
Manager13,User53,Role27,Dept1,53
Manager13,User54,Role27,Dept1,54
Manager13,User54,Role28,Dept1,54
Manager13,User55,Role27,Dept1,55
Manager13,User55,Role28,Dept1,55
Manager14,User56,Role28,Dept1,56
Manager14,User56,Role29,Dept1,56
Manager14,User57,Role28,Dept1,57
Manager14,User57,Role29,Dept1,57
Manager14,User58,Role29,Dept1,58
Manager14,User58,Role30,Dept1,58
Manager14,User59,Role29,Dept1,59
Manager14,User59,Role30,Dept1,59
Manager15,User60,Role30,Dept1,60
Manager15,User60,Role31,Dept1,60
Manager15,User61,Role30,Dept1,61
Manager15,User61,Role31,Dept1,61
Manager15,User62,Role31,Dept1,62
Manager15,User62,Role32,Dept1,62
Manager15,User63,Role31,Dept1,63
Manager15,User63,Role32,Dept1,63
Manager16,User64,Role32,Dept1,64
Manager16,User64,Role33,Dept1,64
Manager16,User65,Role32,Dept1,65
Manager16,User65,Role33,Dept1,65
Manager16,User66,Role33,Dept1,66
Manager16,User66,Role34,Dept1,66
Manager16,User67,Role33,Dept1,67
Manager16,User67,Role34,Dept1,67
Manager17,User68,Role34,Dept1,68
Manager17,User68,Role35,Dept1,68
Manager17,User69,Role34,Dept1,69
Manager17,User69,Role35,Dept1,69
Manager17,User70,Role35,Dept1,70
Manager17,User70,Role36,Dept1,70
Manager17,User71,Role35,Dept1,71
Manager17,User71,Role36,Dept1,71
Manager18,User72,Role36,Dept1,72
Manager18,User72,Role37,Dept1,72
Manager18,User73,Role36,Dept1,73
Manager18,User73,Role37,Dept1,73
Manager18,User74,Role37,Dept1,74
Manager18,User74,Role38,Dept1,74
Manager18,User75,Role37,Dept1,75
Manager18,User75,Role38,Dept1,75
Manager19,User76,Role38,Dept1,76
Manager19,User76,Role39,Dept1,76
Manager19,User77,Role38,Dept1,77
Manager19,User77,Role39,Dept1,77
Manager19,User78,Role39,Dept1,78
Manager19,User78,Role40,Dept1,78
Manager19,User79,Role39,Dept1,79
Manager19,User79,Role40,Dept1,79
Manager20,User80,Role40,Dept1,80
Manager20,User80,Role41,Dept1,80
Manager20,User81,Role40,Dept1,81
Manager20,User81,Role41,Dept1,81
Manager20,User82,Role41,Dept1,82
Manager20,User82,Role42,Dept1,82
Manager20,User83,Role41,Dept1,83
Manager20,User83,Role42,Dept1,83
Manager21,User84,Role42,Dept1,84
Manager21,User84,Role43,Dept1,84
Manager21,User85,Role42,Dept1,85
Manager21,User85,Role43,Dept1,85
Manager21,User86,Role43,Dept1,86
Manager21,User86,Role44,Dept1,86
Manager21,User87,Role43,Dept1,87
Manager21,User87,Role44,Dept1,87
Manager22,User88,Role44,Dept1,88
Manager22,User88,Role45,Dept1,88
Manager22,User89,Role44,Dept1,89
Manager22,User89,Role45,Dept1,89
Manager22,User90,Role45,Dept1,90
Manager22,User90,Role46,Dept1,90
Manager22,User91,Role45,Dept1,91
Manager22,User91,Role46,Dept1,91
Manager23,User92,Role46,Dept1,92
Manager23,User92,Role47,Dept1,92
Manager23,User93,Role46,Dept1,93
Manager23,User93,Role47,Dept1,93
Manager23,User94,Role47,Dept1,94
Manager23,User94,Role48,Dept1,94
Manager23,User95,Role47,Dept1,95
Manager23,User95,Role48,Dept1,95
Manager24,User96,Role48,Dept1,96
Manager24,User96,Role49,Dept1,96
Manager24,User97,Role48,Dept1,97
Manager24,User97,Role49,Dept1,97
Manager24,User98,Role49,Dept1,98
Manager24,User98,Role50,Dept1,98
Manager24,User99,Role49,Dept1,99
Manager24,User99,Role50,Dept1,99
Manager25,User100,Role50,Dept1,100
Manager25,User100,Role51,Dept1,100
Manager25,User101,Role50,Dept1,101
Manager25,User101,Role51,Dept1,101
Manager25,User102,Role51,Dept1,102
Manager25,User102,Role52,Dept1,102
Manager25,User103,Role51,Dept1,103
Manager25,User103,Role52,Dept1,103
Manager26,User104,Role52,Dept1,104
Manager26,User104,Role53,Dept1,104
Manager26,User105,Role52,Dept1,105
Manager26,User105,Role53,Dept1,105
Manager26,User106,Role53,Dept1,106
Manager26,User106,Role54,Dept1,106
Manager26,User107,Role53,Dept1,107
Manager26,User107,Role54,Dept1,107
Manager27,User108,Role54,Dept1,108
Manager27,User108,Role55,Dept1,108
Manager27,User109,Role54,Dept1,109
Manager27,User109,Role55,Dept1,109
Manager27,User110,Role55,Dept1,110
Manager27,User110,Role56,Dept1,110
Manager27,User111,Role55,Dept1,111
Manager27,User111,Role56,Dept1,111
Manager28,User112,Role56,Dept1,112
Manager28,User112,Role57,Dept1,112
Manager28,User113,Role56,Dept1,113
Manager28,User113,Role57,Dept1,113
Manager28,User114,Role57,Dept1,114
Manager28,User114,Role58,Dept1,114
Manager28,User115,Role57,Dept1,115
Manager28,User115,Role58,Dept1,115
Manager29,User116,Role58,Dept1,116
Manager29,User116,Role59,Dept1,116
Manager29,User117,Role58,Dept1,117
Manager29,User117,Role59,Dept1,117
Manager29,User118,Role59,Dept1,118
Manager29,User118,Role60,Dept1,118
Manager29,User119,Role59,Dept1,119
Manager29,User119,Role60,Dept1,119
Manager30,User120,Role60,Dept1,120
Manager30,User120,Role61,Dept1,120
Manager30,User121,Role60,Dept1,121
Manager30,User121,Role61,Dept1,121
Manager30,User122,Role61,Dept1,122
Manager30,User122,Role62,Dept1,122
Manager30,User123,Role61,Dept1,123
Manager30,User123,Role62,Dept1,123
Manager31,User124,Role62,Dept1,124
Manager31,User124,Role63,Dept1,124
Manager31,User125,Role62,Dept1,125
Manager31,User125,Role63,Dept1,125
Manager31,User126,Role63,Dept1,126
Manager31,User126,Role64,Dept1,126
Manager31,User127,Role63,Dept1,127
Manager31,User127,Role64,Dept1,127
Manager32,User128,Role64,Dept1,128
Manager32,User128,Role65,Dept1,128
Manager32,User129,Role64,Dept1,129
Manager32,User129,Role65,Dept1,129
Manager32,User130,Role65,Dept1,130
Manager32,User130,Role66,Dept1,130
Manager32,User131,Role65,Dept1,131
Manager32,User131,Role66,Dept1,131
Manager33,User132,Role66,Dept1,132
Manager33,User132,Role67,Dept1,132
Manager33,User133,Role66,Dept1,133
Manager33,User133,Role67,Dept1,133
Manager33,User134,Role67,Dept1,134
Manager33,User134,Role68,Dept1,134
Manager33,User135,Role67,Dept1,135
Manager33,User135,Role68,Dept1,135
Manager34,User136,Role68,Dept1,136
Manager34,User136,Role69,Dept1,136
Manager34,User137,Role68,Dept1,137
Manager34,User137,Role69,Dept1,137
Manager34,User138,Role69,Dept1,138
Manager34,User138,Role70,Dept1,138
Manager34,User139,Role69,Dept1,139
Manager34,User139,Role70,Dept1,139
Manager35,User140,Role70,Dept1,140
Manager35,User140,Role71,Dept1,140
Manager35,User141,Role70,Dept1,141
Manager35,User141,Role71,Dept1,141
Manager35,User142,Role71,Dept1,142
Manager35,User142,Role72,Dept1,142
Manager35,User143,Role71,Dept1,143
Manager35,User143,Role72,Dept1,143
Manager36,User144,Role72,Dept1,144
Manager36,User144,Role73,Dept1,144
Manager36,User145,Role72,Dept1,145
Manager36,User145,Role73,Dept1,145
Manager36,User146,Role73,Dept1,146
Manager36,User146,Role74,Dept1,146
Manager36,User147,Role73,Dept1,147
Manager36,User147,Role74,Dept1,147
Manager37,User148,Role74,Dept1,148
Manager37,User148,Role75,Dept1,148
Manager37,User149,Role74,Dept1,149
Manager37,User149,Role75,Dept1,149
Manager37,User150,Role75,Dept1,150
Manager37,User150,Role76,Dept1,150
Manager37,User151,Role75,Dept1,151
Manager37,User151,Role76,Dept1,151
Manager38,User152,Role76,Dept1,152
Manager38,User152,Role77,Dept1,152
Manager38,User153,Role76,Dept1,153
Manager38,User153,Role77,Dept1,153
Manager38,User154,Role77,Dept1,154
Manager38,User154,Role78,Dept1,154
Manager38,User155,Role77,Dept1,155
Manager38,User155,Role78,Dept1,155
Manager39,User156,Role78,Dept1,156
Manager39,User156,Role79,Dept1,156
Manager39,User157,Role78,Dept1,157
Manager39,User157,Role79,Dept1,157
Manager39,User158,Role79,Dept1,158
Manager39,User158,Role80,Dept1,158
Manager39,User159,Role79,Dept1,159
Manager39,User159,Role80,Dept1,159
Manager40,User160,Role80,Dept1,160
Manager40,User160,Role81,Dept1,160
Manager40,User161,Role80,Dept1,161
Manager40,User161,Role81,Dept1,161
Manager40,User162,Role81,Dept1,162
Manager40,User162,Role82,Dept1,162
Manager40,User163,Role81,Dept1,163
Manager40,User163,Role82,Dept1,163
Manager41,User164,Role82,Dept1,164
Manager41,User164,Role83,Dept1,164
Manager41,User165,Role82,Dept1,165
Manager41,User165,Role83,Dept1,165
Manager41,User166,Role83,Dept1,166
Manager41,User166,Role84,Dept1,166
