Manager,User,RoleName,Department,ID
Manager16,User897,Role1792,Dept1,897
Manager33,User163,Role1464,Dept1,163
Manager7,User911,Role962,Dept1,911
Manager48,User116,Role2624,Dept1,116
Manager42,User381,Role436,Dept1,381
Manager29,User151,Role607,Dept1,151
Manager46,User724,Role1396,Dept1,724
Manager21,User336,Role510,Dept1,336
Manager48,User63,Role1342,Dept1,63
Manager26,User486,Role2264,Dept1,486
Manager12,User269,Role2012,Dept1,269
Manager2,User967,Role1811,Dept1,967
Manager48,User717,Role1864,Dept1,717
Manager20,User445,Role823,Dept1,445
Manager21,User843,Role1638,Dept1,843
Manager11,User509,Role2347,Dept1,509
Manager21,User494,Role1919,Dept1,494
Manager4,User755,Role169,Dept1,755
Manager8,User188,Role1672,Dept1,188
Manager18,User605,Role1326,Dept1,605
Manager24,User948,Role1981,Dept1,948
Manager25,User967,Role62,Dept1,967
Manager41,User113,Role650,Dept1,113
Manager34,User749,Role1265,Dept1,749
Manager37,User361,Role2563,Dept1,361
Manager14,User839,Role2355,Dept1,839
Manager18,User130,Role2085,Dept1,130
Manager25,User389,Role1572,Dept1,389
Manager14,User448,Role1595,Dept1,448
Manager39,User894,Role1383,Dept1,894
Manager28,User943,Role882,Dept1,943
Manager19,User568,Role840,Dept1,568
Manager40,User313,Role1018,Dept1,313
Manager16,User598,Role2992,Dept1,598
Manager20,User70,Role2794,Dept1,70
Manager11,User805,Role843,Dept1,805
Manager4,User409,Role436,Dept1,409
Manager35,User84,Role2138,Dept1,84
Manager43,User435,Role1668,Dept1,435
Manager11,User118,Role643,Dept1,118
Manager49,User635,Role2954,Dept1,635
Manager4,User481,Role2516,Dept1,481
Manager12,User280,Role1588,Dept1,280
Manager42,User671,Role1005,Dept1,671
Manager26,User239,Role1750,Dept1,239
Manager9,User260,Role2670,Dept1,260
Manager31,User314,Role2407,Dept1,314
Manager13,User115,Role2136,Dept1,115
Manager20,User118,Role479,Dept1,118
Manager32,User494,Role1098,Dept1,494
Manager20,User548,Role2195,Dept1,548
Manager24,User944,Role2833,Dept1,944
Manager10,User847,Role743,Dept1,847
Manager2,User319,Role2118,Dept1,319
Manager5,User803,Role1396,Dept1,803
Manager9,User466,Role1477,Dept1,466
Manager16,User681,Role2257,Dept1,681
Manager9,User261,Role2276,Dept1,261
Manager2,User198,Role1706,Dept1,198
Manager39,User924,Role2613,Dept1,924
Manager3,User125,Role976,Dept1,125
Manager23,User51,Role1735,Dept1,51
Manager12,User761,Role2350,Dept1,761
Manager15,User610,Role2418,Dept1,610
Manager27,User928,Role2234,Dept1,928
Manager45,User773,Role2226,Dept1,773
Manager42,User542,Role2380,Dept1,542
Manager1,User172,Role1718,Dept1,172
Manager28,User362,Role2395,Dept1,362
Manager40,User794,Role574,Dept1,794
Manager2,User528,Role3,Dept1,528
Manager14,User501,Role20,Dept1,501
